Country Code,year,ineq_econ,ineq_soc,ineq_phy,overall_score
AUS,2023,0.21618454134950155,0.8793173728953618,0.35939505416049516,0.06555361795843045
AUS,2024,0.2696229946026663,0.8618403538206981,0.0,0.3915093979562105
AUT,2022,0.058924636245734005,0.6259806643705568,-0.00488810299750629,0.04751104852092354
AUT,2023,0.08336622641095559,0.6071660945814376,0.031667544124894795,0.039683444888444885
AUT,2024,0.04406765337153791,0.2555000825950059,0.0,0.39327120049395053
AZE,2022,0.15664735837630697,0.24843119474532466,-0.07531123889347245,0.29961968174186926
AZE,2023,0.2675077386121736,0.39276199176996907,-0.099040187605543,0.27731573358585854
AZE,2024,-0.12303772187368257,-0.13952305492336745,0.0,0.3947470042388166
BDI,2022,0.09423834653320683,0.09786827532676348,0.23173985105079362,0.5009145051300823
BDI,2023,0.09335717689153578,-0.0036906371588421027,0.22245825036441735,0.5024152090442235
BDI,2024,0.1051679829305689,0.3241073258252529,0.0,0.38718593353174574
BEL,2022,-0.23267577321531913,0.8055602842548145,0.009683803751164045,0.048090567009379546
BEL,2023,-0.2343424672960697,0.8173311563493146,0.15341693345858856,0.03263275140831394
BEL,2024,-0.37028245424984363,0.20103429163863828,0.0,0.3937529532828286
BEN,2022,0.12121950240611463,-0.5088350769473873,0.2157752810931386,0.6055332035117658
BEN,2023,0.1078550732922319,0.5125665996418808,0.31292361580869127,0.54215919237013
BEN,2024,0.07212881810024509,-0.003761930731091656,0.0,0.3946613436355309
BFA,2022,0.002380013427528383,-0.5881591293290288,0.1755566025786129,0.5737193812229436
BFA,2023,-0.1906675922767887,-0.5372910196950951,0.20917840102318472,0.5697419511183258
BFA,2024,-0.10316079269590164,-0.8444650977508646,0.0,0.4270895950091574
BGD,2022,-0.0617478301213358,-0.2568137599417674,0.1945717235992803,0.5202709102633477
BGD,2023,-0.11824394469893218,-0.2755218728357365,0.13978564896101675,0.5183771447372072
BGD,2024,0.06887205473505055,0.11014658824313228,0.0,0.4347241075313573
BGR,2022,-0.5051102754322194,0.41420270873038467,-0.060935730533760356,0.20177660332029052
BGR,2023,-0.4998701167369739,0.4159005543086114,0.010669633877669484,0.19815127431596152
BGR,2024,-0.6323438613819995,-0.8038578216680138,0.0,0.4018935796772675
BHR,2022,-0.20815490677049428,0.46189154959081774,0.019622683259670894,0.19477534284465542
BHR,2023,-0.2205480276306875,0.48410774104982274,-0.009007357397787434,0.22942045708458225
BHR,2024,-0.03932493858503019,0.5425213915284429,0.0,0.4287726778013653
BHS,2022,0.05933801090924192,0.19015180527828385,0.08032975369774735,0.3312503971861473
BHS,2023,0.42390772007036387,0.2782506557339986,-0.003267148353855311,0.33344496135808627
BHS,2024,0.14830663172264305,-0.0869111029147112,0.0,0.3974767907647908
BIH,2022,-0.03611896856240326,0.11000002303537254,-0.13774975732883932,0.1588066677281051
BIH,2023,-0.148221724356267,0.05497919263321216,-0.06012325789397053,0.15517182520257516
BIH,2024,-0.3642729209731151,-0.32645991686973386,0.0,0.41000203986291467
BLR,2022,-0.18150029970939255,0.17482114366268872,0.37747368214266397,0.0991896122835498
BLR,2023,-0.20608317569963547,0.23551678676016216,0.4659737824263064,0.0815832334887335
BLR,2024,-0.20868991654307448,0.12730915222985703,0.0,0.3797390127164504
BLZ,2022,0.19489136558846026,-0.019968667343083897,-0.04312956561172678,0.4076146302031303
BLZ,2023,0.18726713506331122,0.0016372731945854878,-0.05338195794462734,0.402325795405983
BLZ,2024,0.10071800756933637,-0.0635442011198168,0.0,0.4222690863511486
BMU,2022,0.0,0.0,0.13139430525332624,0.31504234290015526
BMU,2023,0.0,-0.15104952492542498,0.14652392064355904,0.31907159659784656
BMU,2024,0.0,0.0,0.0,0.42291022978410503
BOL,2022,0.19428081035830758,0.2055863221881029,-0.007605473791629762,0.4224645196262074
BOL,2023,0.17380209418448184,0.29801892384389383,0.0009721726720719063,0.4264748548881673
BOL,2024,0.2241802840813384,0.061424157961694,0.0,0.3928561741106116
BRA,2022,0.15106681661562693,0.365203877806798,0.022754959067357302,0.37342837318931105
BRA,2023,0.08409703269678291,0.24334731328511486,0.03687770336501923,0.36111393671606196
BRA,2024,0.18034160103936814,0.2352591213260721,0.0,0.406403983780109
BRB,2022,-0.011633695710860039,0.3931123599624518,-0.07289783118596449,0.27813158248695763
BRB,2023,-0.03327021528726076,0.3543902018912436,-0.0564781304493961,0.28115060557498045
